event_id,title,description,dept,tags,club_id,event_type,date,location,popularity_score,total_registered,created_at
35,Power Systems Hackathon,"An engaging event focused on Embedded Systems, CAD, Cybersecurity organized by Club_8.",Information Technology,"Embedded Systems, CAD, Cybersecurity",8,Hackathon,30-10-2025,CSE Hall,0.69,219,31-08-2025 00:00
36,Sustainability Expo,"An engaging event focused on AI, Cybersecurity, CAD organized by Club_7.",Mechanical,"AI, Cybersecurity, CAD",7,Exhibition,07-12-2025,Main Hall,0.84,41,07-08-2025 00:00
37,Cybersecurity Expo,"An engaging event focused on Automation, Sustainability, Cybersecurity organized by Club_6.",Electronics,"Automation, Sustainability, Cybersecurity",6,Seminar,13-10-2025,Main Hall,0.63,220,30-08-2025 00:00
38,IoT Hackathon,"An engaging event focused on Networking, Cloud, 3D Printing, IoT organized by Club_3.",Civil,"Networking, Cloud, 3D Printing, IoT",3,Competition,02-10-2025,Auditorium,0.84,54,01-08-2025 00:00
39,Cloud Expo,"An engaging event focused on Sustainability, CAD organized by Club_6.",Mechanical,"Sustainability, CAD",6,Workshop,02-11-2025,Auditorium,0.6,32,09-09-2025 00:00
40,Power Systems Workshop,"An engaging event focused on Web Development, Cloud, Automation, Sustainability organized by Club_2.",Mechanical,"Web Development, Cloud, Automation, Sustainability",2,Exhibition,12-10-2025,CSE Hall,0.93,86,25-08-2025 00:00
41,Sustainability Challenge,"An engaging event focused on Robotics, Cybersecurity, Networking, CAD organized by Club_2.",Computer Science,"Robotics, Cybersecurity, Networking, CAD",2,Seminar,05-11-2025,Auditorium,0.88,185,17-08-2025 00:00
42,AI Expo,"An engaging event focused on Embedded Systems, Web Development organized by Club_6.",Electronics,"Embedded Systems, Web Development",6,Seminar,03-11-2025,Civil Seminar Hall,0.59,55,01-09-2025 00:00
43,Robotics Hackathon,"An engaging event focused on Sustainability, CAD organized by Club_2.",Electrical,"Sustainability, CAD",2,Competition,25-11-2025,Main Hall,0.61,74,28-09-2025 00:00
44,Automation Expo,"An engaging event focused on AI, Machine Learning organized by Club_2.",Electronics,"AI, Machine Learning",2,Workshop,27-11-2025,Auditorium,0.51,274,10-08-2025 00:00
45,Embedded Systems Hackathon,"An engaging event focused on Cybersecurity, Robotics, Power Systems organized by Club_6.",Civil,"Cybersecurity, Robotics, Power Systems",6,Competition,01-10-2025,Mechanical Block,0.76,271,31-08-2025 00:00
46,Embedded Systems Challenge,"An engaging event focused on 3D Printing, Cloud organized by Club_1.",Civil,"3D Printing, Cloud",1,Hackathon,16-10-2025,Mechanical Block,0.78,203,22-08-2025 00:00
47,Machine Learning Challenge,"An engaging event focused on Sustainability, Machine Learning, IoT, 3D Printing organized by Club_6.",Computer Science,"Sustainability, Machine Learning, IoT, 3D Printing",6,Workshop,07-11-2025,Mechanical Block,0.82,110,05-09-2025 00:00
48,Machine Learning Expo,"An engaging event focused on Cybersecurity, Power Systems organized by Club_7.",Civil,"Cybersecurity, Power Systems",7,Seminar,02-12-2025,CSE Hall,0.54,244,17-09-2025 00:00
49,Cloud Challenge,"An engaging event focused on AI, Power Systems organized by Club_10.",Computer Science,"AI, Power Systems",10,Hackathon,19-11-2025,Mechanical Block,0.53,296,11-09-2025 00:00
50,IoT Workshop,"An engaging event focused on AI, Web Development, IoT organized by Club_1.",Mechanical,"AI, Web Development, IoT",1,Exhibition,21-11-2025,CSE Hall,0.56,287,30-08-2025 00:00
51,Sustainability Workshop,"An engaging event focused on Cloud, Machine Learning, AI, Robotics organized by Club_8.",Civil,"Cloud, Machine Learning, AI, Robotics",8,Seminar,30-11-2025,Auditorium,0.95,43,16-08-2025 00:00
52,Robotics Hackathon,"An engaging event focused on AI, Cybersecurity, Machine Learning, CAD organized by Club_10.",Information Technology,"AI, Cybersecurity, Machine Learning, CAD",10,Competition,09-10-2025,Civil Seminar Hall,0.91,74,08-08-2025 00:00
53,Embedded Systems Expo,"An engaging event focused on Machine Learning, Networking organized by Club_4.",Mechanical,"Machine Learning, Networking",4,Exhibition,26-12-2025,Civil Seminar Hall,0.7,81,13-09-2025 00:00
54,Automation Summit,"An engaging event focused on Web Development, Networking, Cloud organized by Club_1.",Information Technology,"Web Development, Networking, Cloud",1,Competition,12-11-2025,CSE Hall,0.53,160,10-08-2025 00:00
55,Automation Workshop,"An engaging event focused on 3D Printing, Robotics, CAD organized by Club_4.",Civil,"3D Printing, Robotics, CAD",4,Seminar,18-10-2025,Auditorium,0.55,212,19-09-2025 00:00
56,Machine Learning Hackathon,"An engaging event focused on AI, Web Development organized by Club_3.",Electrical,"AI, Web Development",3,Seminar,06-11-2025,CSE Hall,0.71,263,14-09-2025 00:00
57,Robotics Hackathon,"An engaging event focused on Cybersecurity, 3D Printing, CAD, Embedded Systems organized by Club_4.",Information Technology,"Cybersecurity, 3D Printing, CAD, Embedded Systems",4,Competition,28-12-2025,Civil Seminar Hall,0.52,112,15-09-2025 00:00
58,AI Hackathon,"An engaging event focused on Web Development, Networking, Cybersecurity, IoT organized by Club_7.",Computer Science,"Web Development, Networking, Cybersecurity, IoT",7,Exhibition,31-10-2025,ECE Lab,0.6,291,07-08-2025 00:00
59,Cybersecurity Workshop,"An engaging event focused on Cloud, CAD, Sustainability, Power Systems organized by Club_4.",Mechanical,"Cloud, CAD, Sustainability, Power Systems",4,Competition,25-10-2025,Mechanical Block,0.56,96,13-09-2025 00:00
60,Sustainability Expo,"An engaging event focused on Sustainability, AI organized by Club_1.",Information Technology,"Sustainability, AI",1,Exhibition,06-11-2025,Mechanical Block,0.6,148,22-08-2025 00:00
61,Robotics Summit,"An engaging event focused on Power Systems, AI organized by Club_9.",Computer Science,"Power Systems, AI",9,Seminar,04-10-2025,Main Hall,0.74,79,05-08-2025 00:00
62,Cloud Workshop,"An engaging event focused on Automation, IoT, Embedded Systems, Cloud organized by Club_6.",Electrical,"Automation, IoT, Embedded Systems, Cloud",6,Competition,11-11-2025,CSE Hall,0.61,141,17-09-2025 00:00
63,CAD Workshop,"An engaging event focused on Machine Learning, CAD organized by Club_10.",Electrical,"Machine Learning, CAD",10,Competition,25-11-2025,ECE Lab,0.57,252,12-08-2025 00:00
64,Cybersecurity Summit,"An engaging event focused on Power Systems, Cloud, Sustainability organized by Club_6.",Information Technology,"Power Systems, Cloud, Sustainability",6,Seminar,12-11-2025,Auditorium,0.56,50,18-08-2025 00:00
65,Cybersecurity Hackathon,"An engaging event focused on Embedded Systems, Robotics, IoT organized by Club_4.",Electrical,"Embedded Systems, Robotics, IoT",4,Exhibition,21-10-2025,CSE Hall,0.89,107,06-09-2025 00:00
66,Automation Challenge,"An engaging event focused on Web Development, 3D Printing, CAD organized by Club_4.",Computer Science,"Web Development, 3D Printing, CAD",4,Seminar,29-11-2025,CSE Hall,0.64,239,17-09-2025 00:00
67,Automation Workshop,"An engaging event focused on Automation, Cloud, Web Development organized by Club_3.",Electronics,"Automation, Cloud, Web Development",3,Exhibition,23-11-2025,Auditorium,0.99,40,31-08-2025 00:00
68,CAD Summit,"An engaging event focused on Embedded Systems, CAD, Power Systems, Machine Learning organized by Club_8.",Electrical,"Embedded Systems, CAD, Power Systems, Machine Learning",8,Competition,11-10-2025,CSE Hall,0.78,26,14-09-2025 00:00
69,AI Challenge,"An engaging event focused on Cybersecurity, Cloud, Sustainability organized by Club_2.",Information Technology,"Cybersecurity, Cloud, Sustainability",2,Exhibition,25-12-2025,Main Hall,0.65,255,24-09-2025 00:00
70,Web Development Challenge,"An engaging event focused on CAD, Web Development organized by Club_3.",Mechanical,"CAD, Web Development",3,Competition,24-10-2025,Main Hall,0.89,209,10-09-2025 00:00
71,Embedded Systems Expo,"An engaging event focused on Web Development, Sustainability organized by Club_2.",Civil,"Web Development, Sustainability",2,Hackathon,07-12-2025,Main Hall,0.52,238,18-09-2025 00:00
72,Automation Expo,"An engaging event focused on Automation, Networking, Cloud, Sustainability organized by Club_2.",Mechanical,"Automation, Networking, Cloud, Sustainability",2,Workshop,08-10-2025,Auditorium,0.76,206,26-09-2025 00:00
73,IoT Summit,"An engaging event focused on CAD, Automation, AI organized by Club_6.",Electrical,"CAD, Automation, AI",6,Seminar,22-12-2025,CSE Hall,0.78,54,05-09-2025 00:00
74,Power Systems Hackathon,"An engaging event focused on 3D Printing, Machine Learning organized by Club_8.",Electronics,"3D Printing, Machine Learning",8,Hackathon,29-12-2025,ECE Lab,0.6,135,21-08-2025 00:00
75,IoT Challenge,"An engaging event focused on Embedded Systems, Cybersecurity, AI, Machine Learning organized by Club_6.",Mechanical,"Embedded Systems, Cybersecurity, AI, Machine Learning",6,Exhibition,02-12-2025,Main Hall,0.75,82,31-08-2025 00:00
76,Cloud Challenge,"An engaging event focused on CAD, Automation, IoT organized by Club_2.",Mechanical,"CAD, Automation, IoT",2,Workshop,12-10-2025,Auditorium,0.54,111,19-08-2025 00:00
77,Robotics Summit,"An engaging event focused on Machine Learning, Power Systems, Robotics organized by Club_8.",Information Technology,"Machine Learning, Power Systems, Robotics",8,Competition,06-12-2025,Main Hall,0.98,31,19-08-2025 00:00
78,CAD Workshop,"An engaging event focused on CAD, IoT organized by Club_7.",Mechanical,"CAD, IoT",7,Seminar,07-11-2025,Civil Seminar Hall,0.59,31,25-09-2025 00:00
79,CAD Hackathon,"An engaging event focused on Embedded Systems, Automation, IoT organized by Club_6.",Civil,"Embedded Systems, Automation, IoT",6,Competition,25-12-2025,ECE Lab,0.85,300,29-08-2025 00:00
80,Networking Expo,"An engaging event focused on Networking, Cybersecurity organized by Club_3.",Mechanical,"Networking, Cybersecurity",3,Workshop,30-10-2025,CSE Hall,0.74,167,19-09-2025 00:00
81,Power Systems Hackathon,"An engaging event focused on CAD, Robotics, Automation organized by Club_3.",Electronics,"CAD, Robotics, Automation",3,Seminar,06-11-2025,CSE Hall,0.59,109,23-09-2025 00:00
82,Robotics Challenge,"An engaging event focused on AI, IoT organized by Club_10.",Information Technology,"AI, IoT",10,Workshop,03-11-2025,Main Hall,0.68,125,05-09-2025 00:00
83,Robotics Hackathon,"An engaging event focused on Robotics, IoT, CAD organized by Club_9.",Electronics,"Robotics, IoT, CAD",9,Competition,08-11-2025,CSE Hall,0.56,32,26-08-2025 00:00
84,3D Printing Expo,"An engaging event focused on Robotics, AI, Power Systems organized by Club_9.",Electrical,"Robotics, AI, Power Systems",9,Hackathon,22-12-2025,Civil Seminar Hall,0.85,262,27-09-2025 00:00
85,IoT Workshop,"An engaging event focused on Networking, Automation organized by Club_8.",Civil,"Networking, Automation",8,Exhibition,01-12-2025,Auditorium,0.95,91,13-09-2025 00:00
86,CAD Expo,"An engaging event focused on Embedded Systems, Automation organized by Club_4.",Electronics,"Embedded Systems, Automation",4,Exhibition,12-10-2025,CSE Hall,0.66,119,07-09-2025 00:00
87,Web Development Challenge,"An engaging event focused on AI, Machine Learning organized by Club_9.",Electronics,"AI, Machine Learning",9,Competition,26-12-2025,CSE Hall,0.84,64,02-09-2025 00:00
88,Sustainability Expo,"An engaging event focused on Automation, Web Development, 3D Printing organized by Club_1.",Electrical,"Automation, Web Development, 3D Printing",1,Competition,20-11-2025,ECE Lab,0.57,238,24-08-2025 00:00
89,Web Development Hackathon,"An engaging event focused on IoT, Web Development, Cybersecurity organized by Club_8.",Computer Science,"IoT, Web Development, Cybersecurity",8,Competition,12-10-2025,Mechanical Block,0.61,247,17-09-2025 00:00
90,Power Systems Challenge,"An engaging event focused on Networking, Power Systems organized by Club_7.",Electronics,"Networking, Power Systems",7,Seminar,18-10-2025,ECE Lab,0.92,64,10-08-2025 00:00
91,AI Challenge,"An engaging event focused on IoT, Machine Learning, Automation, Embedded Systems organized by Club_2.",Electrical,"IoT, Machine Learning, Automation, Embedded Systems",2,Exhibition,21-12-2025,Mechanical Block,0.96,232,12-08-2025 00:00
92,Cybersecurity Hackathon,"An engaging event focused on Networking, Robotics, Cloud, Web Development organized by Club_7.",Civil,"Networking, Robotics, Cloud, Web Development",7,Exhibition,02-12-2025,ECE Lab,0.52,174,23-09-2025 00:00
93,Robotics Expo,"An engaging event focused on Power Systems, CAD, Cloud, AI organized by Club_1.",Electrical,"Power Systems, CAD, Cloud, AI",1,Hackathon,08-11-2025,Mechanical Block,0.98,261,08-08-2025 00:00
94,Machine Learning Expo,"An engaging event focused on Power Systems, Sustainability, Cloud organized by Club_1.",Information Technology,"Power Systems, Sustainability, Cloud",1,Hackathon,03-12-2025,Civil Seminar Hall,1,54,08-09-2025 00:00
95,Power Systems Workshop,"An engaging event focused on Embedded Systems, Cybersecurity, Sustainability, Power Systems organized by Club_8.",Electrical,"Embedded Systems, Cybersecurity, Sustainability, Power Systems",8,Hackathon,17-11-2025,CSE Hall,0.76,28,24-09-2025 00:00
96,Power Systems Summit,"An engaging event focused on Robotics, IoT organized by Club_8.",Mechanical,"Robotics, IoT",8,Competition,15-11-2025,Main Hall,0.58,159,24-08-2025 00:00
97,Sustainability Workshop,"An engaging event focused on Cybersecurity, Web Development organized by Club_9.",Electronics,"Cybersecurity, Web Development",9,Workshop,05-12-2025,Civil Seminar Hall,0.6,113,18-09-2025 00:00
98,Sustainability Expo,"An engaging event focused on IoT, Web Development, Sustainability, Cybersecurity organized by Club_5.",Information Technology,"IoT, Web Development, Sustainability, Cybersecurity",5,Seminar,13-10-2025,Auditorium,0.77,200,22-09-2025 00:00
99,Robotics Workshop,"An engaging event focused on Cybersecurity, IoT, CAD, Embedded Systems organized by Club_6.",Information Technology,"Cybersecurity, IoT, CAD, Embedded Systems",6,Seminar,28-10-2025,Civil Seminar Hall,0.58,133,23-09-2025 00:00
100,Embedded Systems Challenge,"An engaging event focused on Web Development, 3D Printing, Networking, Power Systems organized by Club_2.",Mechanical,"Web Development, 3D Printing, Networking, Power Systems",2,Workshop,10-10-2025,Mechanical Block,0.56,87,29-09-2025 00:00
101,Automation Hackathon,"An engaging event focused on Power Systems, IoT, Robotics organized by Club_8.",Electronics,"Power Systems, IoT, Robotics",8,Workshop,13-11-2025,CSE Hall,0.59,175,02-08-2025 00:00
102,Cloud Summit,"An engaging event focused on Robotics, Power Systems, Cloud, Cybersecurity organized by Club_3.",Information Technology,"Robotics, Power Systems, Cloud, Cybersecurity",3,Workshop,11-10-2025,Mechanical Block,0.71,77,05-08-2025 00:00
103,Networking Hackathon,"An engaging event focused on Cloud, Machine Learning organized by Club_1.",Electrical,"Cloud, Machine Learning",1,Hackathon,15-12-2025,Auditorium,0.53,80,28-09-2025 00:00
104,Automation Summit,"An engaging event focused on Sustainability, AI, Machine Learning organized by Club_2.",Computer Science,"Sustainability, AI, Machine Learning",2,Hackathon,15-12-2025,Auditorium,0.95,114,12-09-2025 00:00
105,Automation Expo,"An engaging event focused on Web Development, Power Systems organized by Club_5.",Computer Science,"Web Development, Power Systems",5,Exhibition,15-11-2025,CSE Hall,0.58,276,19-09-2025 00:00
106,Cloud Summit,"An engaging event focused on Machine Learning, Web Development, Automation, AI organized by Club_9.",Mechanical,"Machine Learning, Web Development, Automation, AI",9,Workshop,06-11-2025,CSE Hall,0.59,295,01-08-2025 00:00
107,CAD Workshop,"An engaging event focused on CAD, IoT, Power Systems, Automation organized by Club_3.",Mechanical,"CAD, IoT, Power Systems, Automation",3,Seminar,24-10-2025,Civil Seminar Hall,0.92,214,28-08-2025 00:00
108,CAD Workshop,"An engaging event focused on Machine Learning, Networking, IoT organized by Club_2.",Information Technology,"Machine Learning, Networking, IoT",2,Hackathon,06-12-2025,Civil Seminar Hall,0.57,204,15-09-2025 00:00
109,Machine Learning Challenge,"An engaging event focused on Machine Learning, IoT organized by Club_8.",Civil,"Machine Learning, IoT",8,Competition,06-11-2025,CSE Hall,0.73,179,13-09-2025 00:00
110,Web Development Challenge,"An engaging event focused on Cybersecurity, Embedded Systems, Cloud organized by Club_2.",Mechanical,"Cybersecurity, Embedded Systems, Cloud",2,Competition,26-12-2025,Main Hall,0.68,26,13-09-2025 00:00
111,Machine Learning Summit,"An engaging event focused on CAD, 3D Printing, Sustainability organized by Club_2.",Computer Science,"CAD, 3D Printing, Sustainability",2,Seminar,20-11-2025,Auditorium,0.7,72,17-09-2025 00:00
112,Web Development Challenge,"An engaging event focused on IoT, Cloud organized by Club_10.",Electronics,"IoT, Cloud",10,Competition,16-10-2025,ECE Lab,0.62,237,16-09-2025 00:00
113,CAD Hackathon,"An engaging event focused on Automation, Cybersecurity, Sustainability, Embedded Systems organized by Club_6.",Civil,"Automation, Cybersecurity, Sustainability, Embedded Systems",6,Seminar,21-11-2025,Mechanical Block,0.99,281,18-08-2025 00:00
114,Cloud Summit,"An engaging event focused on Cybersecurity, CAD organized by Club_8.",Computer Science,"Cybersecurity, CAD",8,Workshop,04-10-2025,Mechanical Block,0.55,47,23-09-2025 00:00
115,Sustainability Expo,"An engaging event focused on Robotics, Embedded Systems organized by Club_10.",Civil,"Robotics, Embedded Systems",10,Workshop,20-10-2025,Main Hall,0.65,69,18-09-2025 00:00
116,Sustainability Challenge,"An engaging event focused on Networking, CAD, Cloud organized by Club_5.",Mechanical,"Networking, CAD, Cloud",5,Exhibition,02-12-2025,Civil Seminar Hall,0.75,297,22-08-2025 00:00
117,CAD Expo,"An engaging event focused on Embedded Systems, Machine Learning organized by Club_7.",Computer Science,"Embedded Systems, Machine Learning",7,Seminar,18-11-2025,Civil Seminar Hall,0.72,38,03-08-2025 00:00
118,Robotics Expo,"An engaging event focused on Power Systems, Robotics, CAD organized by Club_7.",Civil,"Power Systems, Robotics, CAD",7,Competition,19-11-2025,Main Hall,0.74,76,06-09-2025 00:00
119,Web Development Summit,"An engaging event focused on 3D Printing, Automation, CAD, Power Systems organized by Club_9.",Mechanical,"3D Printing, Automation, CAD, Power Systems",9,Exhibition,04-12-2025,Mechanical Block,0.53,154,01-09-2025 00:00
120,AI Hackathon,"An engaging event focused on IoT, Networking, Cybersecurity, Web Development organized by Club_1.",Mechanical,"IoT, Networking, Cybersecurity, Web Development",1,Exhibition,06-10-2025,Auditorium,0.56,207,23-08-2025 00:00
121,IoT Challenge,"An engaging event focused on Embedded Systems, Machine Learning, Web Development organized by Club_6.",Civil,"Embedded Systems, Machine Learning, Web Development",6,Seminar,14-11-2025,Main Hall,0.53,145,16-08-2025 00:00
122,IoT Summit,"An engaging event focused on Machine Learning, Power Systems, Web Development, Cybersecurity organized by Club_2.",Electronics,"Machine Learning, Power Systems, Web Development, Cybersecurity",2,Competition,03-10-2025,Civil Seminar Hall,0.77,39,30-08-2025 00:00
123,Automation Workshop,"An engaging event focused on Cybersecurity, AI, Power Systems organized by Club_8.",Mechanical,"Cybersecurity, AI, Power Systems",8,Exhibition,10-11-2025,Auditorium,0.69,219,21-08-2025 00:00
124,IoT Challenge,"An engaging event focused on Power Systems, Sustainability organized by Club_4.",Electrical,"Power Systems, Sustainability",4,Exhibition,04-12-2025,ECE Lab,0.91,193,11-08-2025 00:00
125,Web Development Hackathon,"An engaging event focused on Cloud, CAD, Sustainability organized by Club_2.",Electronics,"Cloud, CAD, Sustainability",2,Exhibition,28-10-2025,Mechanical Block,0.64,44,20-08-2025 00:00
126,Automation Expo,"An engaging event focused on Power Systems, Machine Learning, Web Development, Automation organized by Club_2.",Information Technology,"Power Systems, Machine Learning, Web Development, Automation",2,Competition,04-11-2025,CSE Hall,0.53,291,31-08-2025 00:00
127,Networking Expo,"An engaging event focused on Sustainability, Cybersecurity organized by Club_9.",Electronics,"Sustainability, Cybersecurity",9,Competition,25-11-2025,Mechanical Block,0.83,180,13-08-2025 00:00
128,AI Hackathon,"An engaging event focused on 3D Printing, CAD, Sustainability, Web Development organized by Club_3.",Electronics,"3D Printing, CAD, Sustainability, Web Development",3,Competition,24-10-2025,ECE Lab,0.79,129,12-09-2025 00:00
129,3D Printing Summit,"An engaging event focused on Networking, Automation, Embedded Systems, Web Development organized by Club_1.",Civil,"Networking, Automation, Embedded Systems, Web Development",1,Hackathon,16-11-2025,Mechanical Block,0.73,143,10-08-2025 00:00
130,Web Development Challenge,"An engaging event focused on Web Development, Machine Learning, Sustainability organized by Club_4.",Electrical,"Web Development, Machine Learning, Sustainability",4,Exhibition,04-11-2025,CSE Hall,0.91,102,17-08-2025 00:00
131,AI Summit,"An engaging event focused on Machine Learning, Robotics organized by Club_4.",Electrical,"Machine Learning, Robotics",4,Workshop,09-11-2025,CSE Hall,0.73,243,28-08-2025 00:00
132,Sustainability Hackathon,"An engaging event focused on Robotics, AI, Cybersecurity organized by Club_5.",Information Technology,"Robotics, AI, Cybersecurity",5,Competition,23-10-2025,Auditorium,0.82,41,16-09-2025 00:00
